"id","Age","Coding","LastMaths"
195,18,"Yes","Less than one year ago"
196,18,"No","Less than one year ago"
197,18,"No","More than 4 years ago"
198,18,"No","Less than one year ago"
199,19,"No","Less than one year ago"
200,18,"No","Less than one year ago"
201,17,"No","Less than one year ago"
202,19,"Yes","1-4 years ago"
203,18,"No","1-4 years ago"
204,18,"No","1-4 years ago"
205,19,"No","1-4 years ago"
206,18,"No","Less than one year ago"
207,18,"No","Less than one year ago"
208,18,"No","Less than one year ago"
209,18,"No","Less than one year ago"
210,18,"No","Less than one year ago"
211,19,"No","Less than one year ago"
212,19,"No","Less than one year ago"
213,19,"No","1-4 years ago"
214,19,"No","Less than one year ago"
215,18,"No","Less than one year ago"
216,18,"No","Less than one year ago"
217,20,"Yes","Less than one year ago"
218,18,"Yes","Less than one year ago"
219,18,"Yes","Less than one year ago"
220,19,"No","1-4 years ago"
221,19,"Yes","Less than one year ago"
222,19,"No","1-4 years ago"
223,19,"Yes","Less than one year ago"
224,18,"No","Less than one year ago"
225,19,"No","1-4 years ago"
226,19,"No","1-4 years ago"
227,18,"Yes","Less than one year ago"
228,18,"No","Less than one year ago"
229,18,"No","Less than one year ago"
230,19,"Yes","Less than one year ago"
231,19,"No","1-4 years ago"
232,20,"Yes","Less than one year ago"
233,18,"No","Less than one year ago"
234,18,"No","1-4 years ago"
235,19,"No","1-4 years ago"
236,19,"Yes","1-4 years ago"
237,17,"No","Less than one year ago"
238,18,"No","1-4 years ago"
239,19,"No","1-4 years ago"
240,19,"No","1-4 years ago"
241,18,"No","1-4 years ago"
242,18,"No","Less than one year ago"
243,17,"No","1-4 years ago"
244,19,"No","Less than one year ago"
245,18,"Yes","Less than one year ago"
246,20,"Yes","1-4 years ago"
247,18,"No","1-4 years ago"
248,18,"No","Less than one year ago"
249,18,"Yes","Less than one year ago"
250,20,"No","Less than one year ago"
251,19,"No","Less than one year ago"
252,18,"No","Less than one year ago"
253,18,"No","Less than one year ago"
254,18,"Yes","1-4 years ago"
255,18,"No","Less than one year ago"
256,22,"Yes","1-4 years ago"
257,21,"Yes","Less than one year ago"
258,18,"No","Less than one year ago"
259,18,"No","Less than one year ago"
260,18,"No","1-4 years ago"
261,18,"No","1-4 years ago"
262,19,"Yes","Less than one year ago"
263,19,"No","Less than one year ago"
264,17,"Yes","Less than one year ago"
265,21,"No","1-4 years ago"
266,19,"No","1-4 years ago"
267,19,"No","1-4 years ago"
268,19,"No","Less than one year ago"
269,19,"No","Less than one year ago"
270,18,"No",NA
271,19,"No","Less than one year ago"
272,19,"No","Less than one year ago"
273,22,"No","More than 4 years ago"
274,18,"No","1-4 years ago"
275,19,"No","Less than one year ago"
276,19,"Yes","Less than one year ago"
277,18,"No","1-4 years ago"
278,19,"No","Less than one year ago"
279,18,"No","1-4 years ago"
280,18,"No","Less than one year ago"
281,23,"Yes","Less than one year ago"
282,22,"No","1-4 years ago"
283,20,"No","1-4 years ago"
284,18,"Yes","1-4 years ago"
285,19,"No","1-4 years ago"
286,19,"No","Less than one year ago"
287,20,"No","1-4 years ago"
288,18,"No","Less than one year ago"
289,19,"Yes","Less than one year ago"
290,17,"Yes","Less than one year ago"
291,21,"No","1-4 years ago"
292,18,"Yes","1-4 years ago"
293,19,"No","Less than one year ago"
294,18,"No","Less than one year ago"
295,19,"No","Less than one year ago"
296,19,"No","Less than one year ago"
297,22,"No","More than 4 years ago"
298,20,"No","Less than one year ago"
299,18,"No","Less than one year ago"
300,18,"No","1-4 years ago"
301,18,"No",NA
302,19,"No","More than 4 years ago"
303,20,"No","Less than one year ago"
304,19,"No","Less than one year ago"
305,19,"No","1-4 years ago"
306,18,"No","Less than one year ago"
307,19,"No","1-4 years ago"
308,18,"No","1-4 years ago"
309,20,"No","Less than one year ago"
310,21,"No","1-4 years ago"
311,18,"No","Less than one year ago"
312,18,"Yes","1-4 years ago"
313,18,"No","Less than one year ago"
314,18,"No","1-4 years ago"
315,22,"No","1-4 years ago"
316,18,"Yes","Less than one year ago"
317,18,"No","1-4 years ago"
318,18,"No","1-4 years ago"
319,18,"Yes","Less than one year ago"
320,18,"No","1-4 years ago"
321,NA,"",NA
322,20,"No","Less than one year ago"
323,18,"Yes","Less than one year ago"
324,19,"No","1-4 years ago"
325,19,"No","Less than one year ago"
326,18,"No","1-4 years ago"
327,18,"Yes",NA
328,18,"No","Less than one year ago"
329,20,"Yes","Less than one year ago"
330,19,"No","Less than one year ago"
331,19,"Yes","1-4 years ago"
332,NA,"",NA
333,18,"No","More than 4 years ago"
334,18,"No","Less than one year ago"
335,19,"No",NA
336,18,"No","1-4 years ago"
337,22,"No","Less than one year ago"
338,18,"No",NA
339,20,"No","Less than one year ago"
340,18,"No","1-4 years ago"
341,21,"No","More than 4 years ago"
342,18,"No",NA
343,18,"Yes",NA
344,17,"No",NA
345,18,"Yes","Less than one year ago"
346,19,"No",NA
347,22,"No",NA
348,18,"No","Less than one year ago"
349,18,"No","Less than one year ago"
350,21,"No",NA
351,18,"No",NA
352,20,"Yes",NA
353,18,"No",NA
354,18,"No",NA
355,19,"No","Less than one year ago"
356,NA,"",NA
357,18,"No",NA
